category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Introduction à J.-S. Bach: essai d'esthétique musicale,,,
metadata,description,string,,,,
metadata,id,id,bYR3yC8J,,,
metadata,nodegoat_id,id,16002814,,,
metadata,FAAM manifestation ID,id,KCA-030903204235,,,
metadata,call number,string,MM-ES-SCHLO-introdu-1,,,
metadata,score format,item,ifXZogMQ,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1947,,,
statements,date,date,,,,
statements,date,date,,,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,FSduWvy5,early music,,
statements,keyword,item,jArGUTgq,historically informed performance,,
statements,agent,statement,UtTjocXZ,,GBgJfRbK|GDeKaNeC|1947,
statements,agent,statement,QhRQ5LW9,,fkHJwpoD||,
statements,agent,statement,RVP3W8u4,,fkHJwpoD||,
statements,agent,statement,,,||,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030903204235.gif,,,../assets/images/thumbs/
