category,faam_property,type,value,base_url
metadata,label,string,physician,
metadata,label,string,explorer,
metadata,description,string,,
metadata,description,string,professional who practices medicine,
metadata,id,id,Azbp8ftW,
metadata,nodegoat_id,id,15990919,
metadata,qid,externalid,Q39631,http://wwww.wikidata.org/entity/
metadata,aliases,string,doctor,
metadata,aliases,string,physicians,
metadata,aliases,string,medical doctor,
metadata,aliases,string,medical practitioner,
metadata,aliases,string,medical doctors,
metadata,aliases,string,doctor of medicine,
metadata,aliases,string,physician,
