category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Fantaisie : pour Piano & Flûte obligée : Sur la Romance de Charles de France dite Les Chevaliers de la Fidélité : Op: 78,,,
metadata,description,string,,,,
metadata,id,id,4SrPTVqC,,,
metadata,nodegoat_id,id,15992747,,,
metadata,FAAM manifestation ID,id,KCG-000334248,,,
metadata,call number,string,DS4645,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,18-06-1816,,,
statements,date,date,18-06-1816,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,A4NPbBsi,ornament,,
statements,editorial annotation,item,WT9AcUBt,tempo,,
statements,editorial annotation,item,NsEoE4RP,musical expression,,
statements,editorial annotation,item,d2uUDsVY,variation,,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,,
statements,related item,item,,,,
statements,keyword,item,6kwYh3HH,chamber music,,
statements,keyword,item,HwcYgL5C,salon music,,
statements,keyword,item,MaWnCnVw,arrangement,,
statements,keyword,item,adAmqPwn,duet,,
statements,instrumentation,item,MV3uErvy,flute,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,musical work,item,AfCFbJ8g,Charles de France ou Amour et gloire,,
statements,agent,statement,XV4xVK7r,,GBgJfRbK|kZiDQ3Aw|,
statements,agent,statement,WnfHS9Lr,,fkHJwpoD|GDeKaNeC|18-06-1816,
statements,agent,statement,S3La3UWp,,fkHJwpoD|GDeKaNeC|18-06-1816,
statements,agent,statement,mg4nbSvj,,fkHJwpoD||,
statements,agent,statement,,,||,
statements,agent,statement,,,||,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,,,,
statements,role,item,,,,
statements,place,item,kZiDQ3Aw,Bonn,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCG-000334248.gif,,,../assets/images/thumbs/
