category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,"Sinfonietta, op. 48",,,
metadata,description,string,,,,
metadata,id,id,nKH2QhpS,,,
metadata,nodegoat_id,id,15992518,,,
metadata,FAAM manifestation ID,id,KCA-030904487268,,,
metadata,call number,string,UM-BKA-NOVAC-sinfo48-9,,,
metadata,score format,item,g5WgfTuF,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1903,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,bsgSL8K5,,,
statements,editorial annotation,item,WtvibJFF,accent,,
statements,handwritten annotation,item,SnxsnGvi,,,
statements,handwritten annotation,item,jCuFYGDc,ink stamp,,
statements,handwritten annotation,item,5fpte3tE,,,
statements,handwritten annotation,item,eviEKifd,dynamic,,
statements,handwritten annotation,item,iWuVLJam,,,
statements,handwritten annotation,item,gSHSbZQr,,,
statements,handwritten annotation,item,JnGFsz6r,,,
statements,handwritten annotation,item,NefNH6k2,Volti subito,,
statements,handwritten annotation,item,YWfofDz3,,,
statements,handwritten annotation,item,RePdmToB,breath mark,,
statements,handwritten annotation,item,e9t5BdLA,decrescendo,,
statements,handwritten annotation,item,UDva945b,crescendo,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,epKGJCq7,,,
statements,related item,item,24ZX3wtZ,,,
statements,related item,item,nKH2QhpS,,,
statements,related item,item,hcM6ooci,,,
statements,related item,item,WKfZ7hKH,,,
statements,related item,item,2v4izE8Y,,,
statements,related item,item,SKbqbAHR,,,
statements,related item,item,Ni7n4SHX,,,
statements,related item,item,FsDiMPKz,,,
statements,related item,item,,,,
statements,keyword,item,gccDhEBK,wind music,,
statements,keyword,item,hCL8ZYQY,symphonic music,,
statements,instrumentation,item,GCEGkwjT,bassoon,,
statements,musical work,item,jihDgEAZ,,,
statements,agent,statement,UkBCrdbe,,fkHJwpoD||,
statements,agent,statement,XVpibGGu,,GBgJfRbK|GKcJxAtt|1903,
statements,agent,statement,3NyookEG,,GoiPpGap||,
statements,agent,statement,,,||,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,GoiPpGap,performing artist,,
statements,role,item,,,,
statements,place,item,GKcJxAtt,Leipzig,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030904487268.gif,,,../assets/images/thumbs/
