category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,La Pervenche,,,
metadata,description,string,,,,
metadata,id,id,BnWi866J,,,
metadata,nodegoat_id,id,16005417,,,
metadata,FAAM manifestation ID,id,ORP-20143702p35,,,
metadata,call number,string,KTS1 H.11.map.004,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,1853,,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,,
statements,related item,item,,,,
statements,keyword,item,RHxmTGG2,dance music,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,agent,statement,D9Rx8VdU,,fkHJwpoD||,
statements,agent,statement,gjG8DbaX,,GBgJfRbK|9k2MygHr|1853,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,place,item,9k2MygHr,City of Brussels,,
resources,thumb,image,ORP-20143702p35.gif,,,../assets/images/thumbs/
