category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,Méthode élémentaire de chant. pour voix de Baryton ou Basse,,,
metadata,description,string,,,,
metadata,id,id,TLkBZzd7,,,
metadata,nodegoat_id,id,16005447,,,
metadata,FAAM manifestation ID,id,ORP-20143701p14,,,
metadata,call number,string,KTS1 H.11.map.005,,,
metadata,score format,item,mrQyCLJX,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,provenance,item,TrYWxDhL,Orpheus Institute,,
statements,related item,item,,,,
statements,keyword,item,9farY66Z,music education,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,agent,statement,joguPKfw,,fkHJwpoD||,
statements,role,item,fkHJwpoD,composer,,
statements,place,item,,,,
resources,thumb,image,ORP-20143701p14.gif,,,../assets/images/thumbs/
