category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,"Les délices de l'opéra : rondos, fantaisies, mosaïque et variations sur des thêmes favorits des opéras modernes: pour la flûte avec accompagnement de pianoforte",,,
metadata,description,string,,,,
metadata,id,id,ZCwWUaPG,,,
metadata,nodegoat_id,id,15992745,,,
metadata,FAAM manifestation ID,id,KCG-000345131,,,
metadata,call number,string,A1461 (1-4),,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,editorial annotation,item,McMWybdZ,Turn,,
statements,editorial annotation,item,YRq3pSH7,cadenza,,
statements,editorial annotation,item,Vk2JQSuo,ad libitum,,
statements,editorial annotation,item,9dz9ydpz,legato,,
statements,editorial annotation,item,fPsPgkcQ,cantabile,,
statements,editorial annotation,item,gSHSbZQr,,,
statements,provenance,item,hQcqj8e8,Royal Conservatory of Ghent,,
statements,related item,item,,,,
statements,keyword,item,HwcYgL5C,salon music,,
statements,keyword,item,hxYumS2J,opera,,
statements,keyword,item,MaWnCnVw,arrangement,,
statements,keyword,item,9farY66Z,music education,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,instrumentation,item,MV3uErvy,flute,,
statements,musical work,item,MN2LbyLc,,,
statements,agent,statement,h57Tj7hg,,GBgJfRbK|Jr6p4UHj|,
statements,agent,statement,JGR5Pepj,,fkHJwpoD||,
statements,agent,statement,5bgtFZou,,fkHJwpoD||,
statements,agent,statement,,,||,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,,,,
statements,place,item,Jr6p4UHj,Rotterdam,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCG-000345131.gif,,,../assets/images/thumbs/
