category,faam_property,type,value,label,qualifiers,base_url
metadata,label,string,,,,
metadata,label,string,La juive : opéra en cinq actes,,,
metadata,description,string,,,,
metadata,id,id,ZexyEj4Q,,,
metadata,nodegoat_id,id,15992543,,,
metadata,FAAM manifestation ID,id,KCA-030903467311,,,
metadata,call number,string,UM-ZP-HALEV-juive-1,,,
metadata,score format,item,ktjyHrtb,,,
metadata,score complexity,item,iTQMfTAE,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,date,date,,,,
statements,handwritten annotation,item,K9MgTT3J,,,
statements,handwritten annotation,item,WT9AcUBt,tempo,,
statements,handwritten annotation,item,SCgZ76Ps,time signature,,
statements,handwritten annotation,item,gSHSbZQr,,,
statements,handwritten annotation,item,4PAdXGNC,,,
statements,handwritten annotation,item,8Ki8U5U4,underline,,
statements,handwritten annotation,item,B7WuhvkL,fermata,,
statements,provenance,item,6vrn9seu,Royal Conservatory of Antwerp,,
statements,related item,item,,,,
statements,keyword,item,M9HRWrxt,reduction,,
statements,keyword,item,hxYumS2J,opera,,
statements,instrumentation,item,KJkThvsq,voice,,
statements,instrumentation,item,GoXpNrsh,piano,,
statements,musical work,item,ENaXRgqk,La Juive,,
statements,agent,statement,U6xhouYu,,fkHJwpoD||,
statements,agent,statement,AnpeTJfi,,GBgJfRbK|GDeKaNeC|,
statements,agent,statement,AnpeTJfi,,GBgJfRbK|9k2MygHr|,
statements,agent,statement,3NyookEG,,2ZAuwsSp||,
statements,agent,statement,,,||,
statements,agent,statement,,,||,
statements,role,item,fkHJwpoD,composer,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,GBgJfRbK,publishing company,,
statements,role,item,2ZAuwsSp,conductor,,
statements,role,item,,,,
statements,role,item,,,,
statements,place,item,GDeKaNeC,Laboratoire de Chimie des Processus Biologiques,,
statements,place,item,9k2MygHr,City of Brussels,,
statements,place,item,,,,
statements,place,item,,,,
resources,thumb,image,KCA-030903467311.gif,,,../assets/images/thumbs/
